Unicode,Kanji,KLC,Heisig old,Heisig 6th Ed,KLC name
8328,茨,2039,472,511,briar (thorn)
7fa8,羨,2040,553,592,envious
6b73,歳,2041,512,551,"year, -years old"
621a,戚,2042,2882,385,kin
53d4,叔,2043,718,775,younger sibling of parent
6dd1,淑,2044,721,778,graceful (refined)
5bc2,寂,2045,720,777,lonesome (desolate)
7763,督,2046,719,776,"supervise, commander"
5974,奴,2047,702,758,"slave, guy"
52aa,努,2048,865,929,exert
6012,怒,2049,703,759,get angry
96b7,隷,2050,2036,2192,underling
6b3e,款,2051,1097,1178,"article, friendly relations"
6bbb,殻,2052,710,767,husk (shell)
7a40,穀,2053,917,984,grain
81fc,臼,2054,2063,1531,mortar
6bc0,毀,2055,2067,1532,break (chip)
5ec9,廉,2056,1601,1727,"honest, cheap"
938c,鎌,2057,1599,1725,sickle
5acc,嫌,2058,1598,1724,dislike
8b19,謙,2059,1600,1726,humble (modest)
905c,遜,2060,2422,1496,humble (modest)
4e80,亀,2061,534,573,turtle
7df4,練,2062,1343,1443,train (drill)
932c,錬,2063,2030,2186,refine (train)
935b,鍛,2064,1860,2004,forge (train)
9271,鉱,2065,741,802,"ore, mine"
9285,銅,2066,272,290,copper (bronze)
925b,鉛,2067,794,857,lead
9291,銑,2068,270,288,pig iron
92fc,鋼,2069,1962,2113,steel
525b,剛,2070,1964,2115,tough (strong)
7db1,綱,2071,1963,2114,"rope, main points"
7db2,網,2072,1373,1473,net
7e04,縄,2073,1377,1477,rope
9262,鉢,2074,271,289,bowl
9396,鎖,2075,1937,2087,chain
7d46,絆,2076,2658,2700,bonds (fetters)
9375,鍵,2077,2761,418,key
91d8,釘,2078,2766,2788,nail
932e,錮,2079,,623,lock down
9320,錠,2080,383,409,"lock, pill"
7dbb,綻,2081,2670,1439,come apart at the seams
9234,鈴,2082,1406,1508,bell
9418,鐘,2083,438,470,bell
77b3,瞳,2084,437,469,pupil (of the eye)
61a7,憧,2085,2280,681,yearn after
61ac,憬,2086,,682,yearn after
5351,卑,2087,1511,1629,mean (despicable)
7891,碑,2088,1512,1630,monument
75fa,痺,2089,2579,2627,paralysis
9b3c,鬼,2090,2019,2175,demon (ghost)
584a,塊,2091,2024,2180,lump
919c,醜,2092,2020,2176,ugly
9b42,魂,2093,2021,2177,soul (spirit)
9b45,魅,2094,2023,2179,charm
9b54,魔,2095,2022,2178,demon (devil)
754f,畏,2096,2569,2069,fear
5237,刷,2097,1069,1150,print
64e6,擦,2098,1104,1185,rub (chafe)
6469,摩,2099,639,689,rub against
78e8,磨,2100,594,638,polish
51f9,凹,2101,33,33,concave
51f8,凸,2102,34,34,convex
5949,奉,2103,1573,1695,dedicate (offer)
594f,奏,2104,1571,1693,play music
6cf0,泰,2105,1570,1692,tranquil
4ff8,俸,2106,1574,1696,salary
68d2,棒,2107,1575,1697,rod (stick)
6367,捧,2108,2265,2364,offer respectfully
8010,耐,2109,1164,1248,withstand (endure)
970a,霊,2110,1791,1930,spirit (soul)
9700,需,2111,1165,1249,demand (need)
6fe1,濡,2112,2329,2419,wet
5112,儒,2113,1166,1250,confucianism
7aef,端,2114,1167,1251,edge (extremity)
58f1,壱,2115,457,496,one (in legal documents)
5c3c,尼,2116,1054,1133,buddhist nun
6ce5,泥,2117,1055,1135,mud
6f0f,漏,2118,1068,1149,leak
6c3e,氾,2119,2301,1518,flood
5f59,彙,2120,2997,1237,catalog
67d0,某,2121,1759,1896,a certain
8b00,謀,2122,1760,1897,scheme (plot)
5a92,媒,2123,1761,1898,mediate
5c09,尉,2124,1095,1176,officer
6170,慰,2125,1096,1177,console (cheer up)
916a,酪,2126,1433,1541,dairy products
9175,酵,2127,1430,1538,ferment
91a4,醤,2128,2746,2774,soy sauce
9162,酢,2129,1434,1542,vinegar
914e,酎,2130,2748,1537,shochu (japanese distilled liquor)
914c,酌,2131,1429,1536,pour wine
91e3,釣,2132,273,291,angle
755c,畜,2133,1384,1485,(raise) livestock
84c4,蓄,2134,1385,1486,store up
7384,玄,2135,1383,1484,profound (occult)
7729,眩,2136,2581,2629,dazzling
545f,呟,2137,,,mutter
56c1,囁,2138,2157,2279,whisper
558b,喋,2139,2158,2280,speak (chat)
55a9,喩,2140,,308,liken
9b31,鬱,2141,,2120,"depression, congested"
5f26,弦,2142,1386,1487,string (of a bow or musical instrument)
8237,舷,2143,2675,2015,gunwale
8235,舵,2144,2674,2715,rudder
5e7b,幻,2145,1862,2006,phantom (illusion)
5e7d,幽,2146,1380,1480,quiet and secluded (deep hidden)
5e7c,幼,2147,1378,1478,very young
7a1a,稚,2148,896,962,child
7dad,維,2149,1341,1441,fiber (hold together)
63a8,推,2150,663,716,"infer, push forward"
5806,堆,2151,2185,596,pile up
690e,椎,2152,2505,597,"spine, chinquapin"
810a,脊,2153,2071,268,spine
96db,雛,2154,2085,2230,chick (doll)
8ab0,誰,2155,2712,598,who
552f,唯,2156,556,595,merely (only)
9cf4,鳴,2157,1942,2092,"cry (chirp), sound"
4ea5,亥,2158,1519,1637,sign of the boar
523b,刻,2159,1521,1639,"engrave (carve), point in time"
52be,劾,2160,1523,1642,expose crimes
6838,核,2161,1520,1638,nucleus (core)
9ab8,骸,2162,2874,1641,body (skeleton)
54b3,咳,2163,2162,2283,cough
8a72,該,2164,1522,1640,correspond to
8a3a,診,2165,1724,1860,examine a patient
73cd,珍,2166,1723,1859,rare (curious)
74e6,瓦,2167,1031,1108,tile (brick)
4f75,併,2168,1030,1107,put together
74f6,瓶,2169,1032,1109,bottle (jar)
5c4f,屏,2170,2223,2333,fence (folding screen)
5840,塀,2171,1056,1136,fence (wall)
9905,餅,2172,2802,1590,rice cake
990c,餌,2173,2797,1588,"feed, bait"
5451,呑,2174,2080,2225,swallow (gulp)
6c83,沃,2175,2079,459,fertility
5996,妖,2176,2078,458,bewitching
546a,呪,2177,2169,108,charm (curse)
8276,艶,2178,1755,1892,"charming (voluptuous, glossy), romance"
6148,慈,2179,1389,1490,affectionate (compassionate)
6ecb,滋,2180,1388,1489,nourish
78c1,磁,2181,1390,1491,magnetism
64c1,擁,2182,1387,1488,embrace (protect)
8150,腐,2183,1023,1099,rot (decay)
82af,芯,2184,2368,647,core
8494,蒔,2185,2395,2476,sow
6492,撒,2186,2271,2369,scatter
64a4,撤,2187,760,822,withdraw
5fb9,徹,2188,886,951,go through (with)
5fae,微,2189,889,954,slight (minute)
5fb4,徴,2190,887,952,"levy (impose), sign"
61f2,懲,2191,888,953,chastise
6b86,殆,2192,2871,2884,"almost (quite, really)"
540e,后,2193,1861,2005,empress
57a2,垢,2194,2187,2302,dirt
5983,妃,2195,527,566,(married) princess
59eb,姫,2196,849,912,daughter of noble birth (princess)
5982,如,2197,100,104,as (if)
8339,茹,2198,,,boil
5a7f,婿,2199,395,422,son-in-law
5a18,娘,2200,1471,1581,"daughter, girl"
